Microsoft.AAD.CloudAp.Provider,{74d91ec4-4680-40d2-a213-45e2d2b95f50}
Microsoft.AAD.TokenBrokerPlugin.Provider,{bfed9100-35d7-45d4-bfea-6c1d341d4c6b}
Microsoft.AAD.WamExtension,{7b1ae42d-b4f2-414d-9c97-913f19049964}
Microsoft.AI.Skills.SkillInterfacePreview,{8aab2670-8525-40bb-a208-c2df8ca1c225}
Microsoft.AI.Skills.SkillInterfacePreview,{c78b8551-2850-59cb-74bb-086e43420ae1}
Microsoft.AKSHCI,{151948d0-019c-51d4-2063-7c74d19263f7}
Microsoft.AKSHCI.Appliance,{c0031f76-7d6f-58ee-2ca5-e535d7f28ffa}
Microsoft.Anaheim.Install,{a7d115ef-a386-59f9-7b51-9b581b95f38c}
Microsoft.Analog.CalibrationHupService,{90faaf45-5de5-4a91-b220-f745273dca41}
Microsoft.Analog.CalibrationRuntime,{968cb7ac-b3e0-4e33-9648-cd5ac65f2f0b}
Microsoft.Analog.CortanaBot,{84cbe493-cb4b-4570-82d1-cc0c1c166ce5}
Microsoft.Analog.Environments.Builder,{c2147fe9-e871-4685-8058-729fac46ba8e}
Microsoft.Analog.Environments.Components,{e7f2e033-ac85-50eb-20f1-ccc99d4a9efe}
Microsoft.Analog.Environments.Services,{5efe673b-0515-4b3c-a739-68b630d76748}
Microsoft.Analog.Environments.Services,{70236f66-9b2f-5a62-bc44-6a04ebefd108}
Microsoft.Analog.EnvironmentsApp,{e7b5aa99-fab4-5dca-d5dc-477fd7446541}
Microsoft.Analog.HoloCortana,{c412a5d6-30a8-464e-9dc5-8574d2484510}
Microsoft.Analog.HoloCortana.MessagingTest,{90891382-9ed1-46b8-b048-e5f3040d9da3}
Microsoft.Analog.Internal.Powershell,{05f80bfb-298b-55c2-ed51-dced139d82a3}
Microsoft.Analog.MotionController,{6e831a67-eb0d-55cd-69c0-cfe57755346d}
Microsoft.Analog.MotionController.Runtime,{b31b5a4b-b018-5188-aef4-4e63af10f80b}
Microsoft.Analog.MotionControllerMinimal.Runtime,{d27719c1-8dcf-555b-e03f-ef4e275a4799}
Microsoft.Analog.OpenVR.Driver,{09e63619-9da5-5131-db2e-79c0ca6264fa}
Microsoft.Antimalware.Scan.Interface,{7a01e7fb-b6a4-4585-b1a8-ea2094ecb4c5}
Microsoft.Antimalware.Service,{751ef305-6c6e-4fed-b847-02ef79d26aef}
Microsoft.Antimalware.UI,{911f2490-c3db-4781-94e6-7a9c404803e5}
